activation,batch_size,candidate_name,checkpoint_interval,data_seed,depth,group,hidden_size,knn_k,learning_rate,loss_kind,model_seed,mu_in_preview,mu_ref_preview,nr_scenarios,replicate,reset_optimizer_each_epoch,rho,rho_in_preview,rho_ref_preview,run_id,run_rel_dir,schedule_kind,stage_epochs,test_seed,total_epochs,training_contexts,training_seed
silu,1,standard,1,202615051,4,00_baseline,128,0,0.001,dfl,202615052,1.0|0.01,1.0|0.0,1,1,true,0.0,0.0|0.0,0.0|0.0,smoke_00_baseline_standard_rep01,smoke/00_baseline/standard/rep01,baseline,1|1,11,2,2,202615053
silu,1,persistent_adam,1,202615051,4,00_baseline,128,0,0.001,dfl,202615052,1.0|0.01,1.0|0.0,1,1,false,0.0,0.0|0.0,0.0|0.0,smoke_00_baseline_persistent_adam_rep01,smoke/00_baseline/persistent_adam/rep01,baseline,1|1,11,2,2,202615053
silu,1,no_finetune,1,202615051,4,01_ablations,128,0,0.001,dfl,202615052,1.0|0.01,1.0|0.01,1,1,true,0.0,0.0|0.0,0.0|0.0,smoke_01_ablations_no_finetune_rep01,smoke/01_ablations/no_finetune/rep01,no_finetune,1|1,11,2,2,202615053
silu,1,no_annealing,1,202615051,4,01_ablations,128,0,0.001,dfl,202615052,1.0|0.01,1.0|0.0,1,1,true,0.0,0.0|0.0,0.0|0.0,smoke_01_ablations_no_annealing_rep01,smoke/01_ablations/no_annealing/rep01,no_annealing,1|1,11,2,2,202615053
silu,1,mse,1,202615051,4,01_ablations,128,0,0.001,mse,202615052,1.0|0.01,1.0|0.0,1,1,true,0.0,0.0|0.0,0.0|0.0,smoke_01_ablations_mse_rep01,smoke/01_ablations/mse/rep01,baseline,1|1,11,2,2,202615053
silu,1,scenarios2,1,202615051,4,02_multi_scenario,128,0,0.001,dfl,202615052,1.0|0.01,1.0|0.0,2,1,true,0.0,0.0|0.0,0.0|0.0,smoke_02_multi_scenario_scenarios2_rep01,smoke/02_multi_scenario/scenarios2/rep01,baseline,1|1,11,2,2,202615053
silu,1,rho_0p0001,1,202615051,4,03_quadratic_smoothing,128,0,0.001,dfl,202615052,1.0|0.01,1.0|0.0,1,1,true,0.0001,0.0001|0.0001,0.0001|0.0,smoke_03_quadratic_smoothing_rho_0p0001_rep01,smoke/03_quadratic_smoothing/rho_0p0001/rep01,baseline,1|1,11,2,2,202615053
silu,1,pure_rho_0p0003,1,202615051,4,04_pure_quadratic,128,0,0.001,dfl,202615052,0.0|0.0,0.0|0.0,1,1,true,0.0003,0.0003|0.0003,0.0003|0.0003,smoke_04_pure_quadratic_pure_rho_0p0003_rep01,smoke/04_pure_quadratic/pure_rho_0p0003/rep01,pure_rho,1|1,11,2,2,202615053
silu,1,k2,1,202615051,4,05_knn_equilibration,128,2,0.001,dfl,202615052,1.0|0.01,1.0|0.0,1,1,true,0.0,0.0|0.0,0.0|0.0,smoke_05_knn_equilibration_k2_rep01,smoke/05_knn_equilibration/k2/rep01,baseline,1|1,11,2,2,202615053
silu,4,batch4,1,202615051,4,06_batch_size,128,0,0.001,dfl,202615052,1.0|0.01,1.0|0.0,1,1,true,0.0,0.0|0.0,0.0|0.0,smoke_06_batch_size_batch4_rep01,smoke/06_batch_size/batch4/rep01,baseline,1|1,11,2,2,202615053
silu,1,depth5,1,202615051,5,07_deep_network,128,0,0.001,dfl,202615052,1.0|0.01,1.0|0.0,1,1,true,0.0,0.0|0.0,0.0|0.0,smoke_07_deep_network_depth5_rep01,smoke/07_deep_network/depth5/rep01,baseline,1|1,11,2,2,202615053
silu,1,width64,1,202615051,4,08_wide_network,64,0,0.001,dfl,202615052,1.0|0.01,1.0|0.0,1,1,true,0.0,0.0|0.0,0.0|0.0,smoke_08_wide_network_width64_rep01,smoke/08_wide_network/width64/rep01,baseline,1|1,11,2,2,202615053
